"","Select characteristics...1","Total","device_always","device_usually","device_sometimes","device_rarely","device_never","device_nr","internet_always","internet_usually","internet_sometimes","internet_rarely","internet_never","internet_nr","State","Week"
"103","food_enough_want",1132183,804787,181596,112854,8289,17753,6905,895820,163760,40186,6230,13521,12666,"AZ",1
"104","food_enough_notwant",344387,196873,79805,48884,11914,6911,0,186349,126104,17096,9983,2658,2197,"AZ",1
"105","food_sometimes",112598,53921,21224,26025,0,11428,0,51429,39860,12561,0,8748,0,"AZ",1
"106","food_notenough",40598,0,0,4227,0,36371,0,0,1214,0,3013,36371,0,"AZ",1
"107","food_nr",7101,7101,0,0,0,0,0,0,7101,0,0,0,0,"AZ",1
"108","25000>",335824,252066,8838,20664,2203,52053,0,178537,77894,18287,2466,58640,0,"AZ",1
"109","25000-34999",206905,110912,61107,26472,8414,0,0,111347,79099,16458,0,0,0,"AZ",1
"110","35000-49999",208457,84717,39005,65685,1297,17753,0,125570,68940,9169,2581,0,2197,"AZ",1
"111","50000-74999",194012,110928,54838,26868,0,0,1379,146443,26783,12828,7959,0,0,"AZ",1
"112","75000-99999",252241,152249,68281,20764,8289,2658,0,209151,25399,8812,6221,2658,0,"AZ",1
"113","100000-149999",187865,146638,16791,24436,0,0,0,158177,29688,0,0,0,0,"AZ",1
"114","150000-199999",98699,78965,15092,4641,0,0,0,87845,6564,4290,0,0,0,"AZ",1
"115","200000<",120604,101930,18674,0,0,0,0,100081,20523,0,0,0,0,"AZ",1
"116","income_nr",32261,24277,0,2458,0,0,5526,16446,3150,0,0,0,12666,"AZ",1
"117","Total",8708226,6343654,1389013,557517,170855,70126,177063,6639069,1545813,233538,88501,21125,180180,"CA",1
"118","comp_school",3567720,2791151,623072,92547,60951,0,0,2828144,635708,65032,25383,1817,11636,"CA",1
"119","comp_home",5723562,4227941,974477,409450,111694,0,0,4461759,1116017,85711,60075,0,0,"CA",1
"120","comp_other",104045,46102,27148,13253,17542,0,0,60941,5829,18425,18850,0,0,"CA",1
"121","comp_nr",357564,50857,2442,54179,2897,70126,177063,74557,15207,73526,6423,19308,168544,"CA",1
"122","int_school",186342,68803,113838,3700,0,0,0,65900,118895,1546,0,0,0,"CA",1
